id,pop_other_languages,pop_total,per_other_languages
11697,228,4123,5.53
11005,246,2195,11.21
11413,6946,45072,15.41
10014,4645,29772,15.6
11434,11582,67611,17.13
11412,7192,41350,17.39
11694,3836,21430,17.9
11436,3876,21364,18.14
10028,8303,45679,18.18
11203,14064,76853,18.3
11411,3848,20501,18.77
11233,15701,82711,18.98
11238,11183,58462,19.13
11216,11596,59913,19.35
10011,9556,49344,19.37
10010,6221,31905,19.5
10307,2906,14821,19.61
10024,12556,62576,20.07
11212,18535,87946,21.08
10003,11459,53825,21.29
11231,8497,39704,21.4
10005,1992,9238,21.56
11213,15401,69630,22.12
11215,15749,70922,22.21
10007,1756,7802,22.51
10282,1349,5960,22.63
10012,5007,21846,22.92
11225,12965,56544,22.93
11201,16262,69251,23.48
10075,5661,23865,23.72
10308,7169,29996,23.9
10017,3583,14985,23.91
11217,10189,42569,23.94
10309,8421,34918,24.12
10022,8342,34340,24.29
11236,23184,95174,24.36
10021,9698,39479,24.56
10037,4553,18333,24.83
11422,8438,33085,25.5
10470,3981,15558,25.59
10004,1012,3875,26.12
10312,16651,63345,26.29
10069,1760,6669,26.39
10001,7810,29079,26.86
11420,14013,50060,27.99
10065,8698,31047,28.02
10128,16539,59000,28.03
10023,19002,67468,28.16
10016,15332,54297,28.24
11433,10882,37777,28.81
10475,12573,42771,29.4
10162,522,1769,29.51
11222,12401,41418,29.94
10301,11932,39799,29.98
11239,4850,16047,30.22
11691,21131,68704,30.76
10310,7962,25824,30.83
10006,1382,4475,30.88
11693,4041,13066,30.93
11429,8659,27933,31
10026,11518,37113,31.03
11692,7227,23247,31.09
10466,23055,74061,31.13
11207,29280,93445,31.33
11210,19046,60398,31.53
10039,9993,30512,32.75
11226,32784,100022,32.78
11221,29801,90750,32.84
11234,28909,87778,32.93
10013,9349,28215,33.13
10019,14701,44276,33.2
10471,7929,23400,33.88
11414,10582,31090,34.04
10306,19617,57249,34.27
10025,32135,93223,34.47
10009,20234,58341,34.68
10030,10790,30781,35.05
10469,24679,69855,35.33
10036,11132,30589,36.39
10027,23872,65068,36.69
10314,34373,93539,36.75
11109,2733,7388,36.99
10038,8657,23342,37.09
10018,3367,8764,38.42
10464,1658,4273,38.8
10302,7717,19693,39.19
11419,18480,46938,39.37
11205,19870,50205,39.58
10465,18777,46457,40.42
11360,7922,19510,40.6
10303,10629,25993,40.89
11423,12111,29105,41.61
10280,3636,8668,41.95
11363,3161,7515,42.06
11209,30111,70756,42.56
11102,12106,28349,42.7
10304,19989,45843,43.6
10035,17051,39082,43.63
11105,17070,38507,44.33
11101,17661,39007,45.28
11211,29954,65691,45.6
11428,8688,18898,45.97
10305,19233,41714,46.11
10473,27707,59778,46.35
10029,35220,74848,47.06
11357,19936,42341,47.08
11379,17625,37378,47.15
10463,32814,69373,47.3
11218,33750,71313,47.33
11208,50913,106901,47.63
10474,5344,11188,47.77
11427,12152,25124,48.37
11361,14898,30402,49
11103,17480,35357,49.44
11237,22565,45233,49.89
11230,44194,88252,50.08
11106,20383,40657,50.13
10451,24563,48975,50.15
10031,30365,60305,50.35
11375,38206,75320,50.72
10002,38459,75517,50.93
11417,15411,30091,51.21
11362,9303,18156,51.24
11415,10997,21379,51.44
11206,46266,89231,51.85
10456,45098,86958,51.86
10044,6252,11998,52.11
11004,7521,14296,52.61
11435,31139,58424,53.3
10461,27470,50900,53.97
11367,22813,42210,54.05
11223,42511,78566,54.11
11385,56649,103865,54.54
11228,23230,42325,54.88
11224,26634,48469,54.95
10467,53344,96304,55.39
11418,20117,36304,55.41
11365,24040,43258,55.57
11229,44667,79802,55.97
11426,11016,19638,56.1
11364,20442,36417,56.13
10462,42737,75452,56.64
11232,15124,26681,56.68
11378,21701,37828,57.37
10460,35445,61101,58.01
11104,15588,26825,58.11
10472,37836,63820,59.29
10459,29593,49753,59.48
10454,24403,40368,60.45
10032,33645,55579,60.54
10033,32574,53611,60.76
11416,16313,26660,61.19
11432,39103,63730,61.36
10457,48790,79375,61.47
10455,26681,42940,62.14
11430,279,448,62.28
11370,17926,28762,62.33
10034,24355,39037,62.39
10452,48543,76745,63.25
10453,49643,78270,63.43
11358,23448,36496,64.25
11366,8352,12967,64.41
10458,51304,78741,65.16
11421,27755,41937,66.18
10040,27765,41581,66.77
11374,31168,46128,67.57
11369,22942,33354,68.78
11377,57773,83545,69.15
11356,18661,26956,69.23
11214,62332,88994,70.04
11204,57080,81368,70.15
11219,67704,94737,71.47
10468,57119,79825,71.56
11372,48020,66995,71.68
11235,58857,81958,71.81
11354,39335,52325,75.17
11220,68604,90792,75.56
11368,84830,107060,79.24
11355,63848,79802,80.01
11373,81391,99433,81.86
